Product Name,Price,Rating
Ace Elec ACEELEC F9 Wireless Fingerprint Touch Bluetooth Headset,KSh 615,None
"UMIDIGI Power 5S 4GB,32GB 6150mAh (16MP+8MP+5MP)+8MP Android 11 Face Unlock 6.53""-Green","KSh 9,660",None
"Nokia C32, 64GB + 4GB (Upto 7GB RAM) 5000MAh, Android 13, Black-Charcoal","KSh 15,360",None
"Tecno Pop  7, 6.6"" HD+, 2GB + 64GB, 8MP, 4G (Dual SIM) 5000MAh - Endless Black","KSh 12,099",None
Qwen Wireless Earbuds Fingerprint Touch Headset Bluetooth Earphones With Charging Power Bank,KSh 560,None
Qwen Bluetooth Headset Wireless Earbuds With Power Bank & Digital Led Display,KSh 649,None
"Tecno Spark 10C , 6.6"" FHD,128GB ROM+8GB RAM ,5000mAh,Meta Black","KSh 17,280",None
"Infinix Hot 30i, 6.56"", 4GB RAM, 128GB, 5000mAh, (DUAL SIM), 4G -  Mirror Black","KSh 16,320",None
ARHANORY Phone Tripod Stand Mobile Phone Holder Mount Ring Light Set Selfie Stick-Black,KSh 439,None
Generic Wireless Earphones Bluetooth 5.3 Finger Touch Headset HIFI Slide Cover.,KSh 749,None
Generic Wireless Bluetooth In-Ear Earphone Stereo Headset,KSh 580,None
Edifier X2 TWS Earbuds Wireless Earphones Bluetooth 5.1 Voice Assistant 13mm Driver Touch Control Up To 28hrs Playtime Game Mode,"KSh 1,838",None
"Freeyond M5,8GB+128GB,6.52"", 50MP,4G Smartphone 5000mAh Dual SIM Android Phone,Black","KSh 16,013",None
"Tecno Pop  7 6.6"" HD+, 2GB + 64GB, 8MP, 4G (Dual Sim) 5000MAh - Nebula Purple","KSh 12,099",None
Qwen Wireless Earbuds In-ear Bluetooth Earphones Digital LED Display,KSh 650,None
"Tecno Spark 10C , 6.6"" FHD,128GB ROM+4GB RAM ,5000mAh,Meta Skin Blue","KSh 16,320",None
"Infinix Hot 30i, 6.6"", 8GB RAM, 128GB, 5000mAh, (DUAL SIM), 4G -  Mirror Black","KSh 19,899",None
"Tecno Pop  7, 6.6"" HD+, 2GB + 64GB, 8MP, 4G (Dual SIM) 5000MAh - Endless Black","KSh 12,099",None
"Nokia C12,6.3"",64GB + 2GB,8MP,(Dual SIM), 3000mAh,Charcoal","KSh 11,549",None
"Tecno Spark 10C , 6.6"" FHD,128GB ROM+8GB RAM ,5000mAh,Meta Black","KSh 17,280",None
"Nokia C32, 64GB + 4GB (Upto 7GB RAM) 5000MAh, Android 13, Black-Charcoal","KSh 15,360",None
"Tecno Spark 10C , 6.6"" FHD, 128GB +4GB RAM ,5000mAh, DUAL SIM, 4G - Meta Black","KSh 16,320",None
"Freeyond M5,8GB+128GB,6.52"", 50MP,4G Smartphone 5000mAh Dual SIM Android Phone,Black","KSh 16,013",None
"Samsung Galaxy A04s, 6.5"", 64 GB + 4 GB RAM (Dual SIM), 50MP,  5000mAh, Black","KSh 18,749",None
"Infinix Smart 7 HD, 6.6"", 2GB RAM, 64GB, 5000mAh, 4G(DUAL SIM) - Green Apple","KSh 11,599",None
"Infinix Smart 7 HD, 6.6"", 2GB RAM, 64GB, 5000mAh, 4G(DUAL SIM) - Ink Black","KSh 11,599",None
"Tecno Pop  7 6.6"" HD+, 2GB + 64GB, 8MP, 4G (Dual Sim) 5000MAh - Nebula Purple","KSh 12,099",None
"Nokia C1 2nd Edition, 5.45"" - 16GB + 1GB (Dual Sim) 2500 MAh + SMART WATCH & AIRPODS","KSh 8,799",None
"Infinix Smart 7 Plus 6.6"" HD+, 64GB ROM + 3GB RAM, 6000mAh +  Free Gifts","KSh 13,990",None
"Infinix Hot 30i, 6.56"", 4GB RAM, 128GB, 5000mAh, (DUAL SIM), 4G -  Mirror Black","KSh 16,320",None
"Infinix Smart 7 HD, 6.6"", 2GB RAM, 64GB, 5000mAh, 4G(DUAL SIM) - Ink Black","KSh 11,599",None
"Nokia C32, 64GB + 4GB (Upto 7GB RAM) 5000MAh, Android 13, Black-Charcoal","KSh 15,360",None
"Tecno Pop  7, 6.6"" HD+, 2GB + 64GB, 8MP, 4G (Dual SIM) 5000MAh - Endless Black","KSh 12,099",None
"Tecno Spark 10C , 6.6"" FHD,128GB ROM+8GB RAM ,5000mAh,Meta Black","KSh 17,280",None
"Infinix Hot 30i, 6.56"", 4GB RAM, 128GB, 5000mAh, (DUAL SIM), 4G -  Mirror Black","KSh 16,320",None
"Infinix Smart 7 HD, 6.6"", 2GB RAM, 64GB, 5000mAh, 4G(DUAL SIM) - Jade White","KSh 11,599",None
"Tecno Pop  7 6.6"" HD+, 2GB + 64GB, 8MP, 4G (Dual Sim) 5000MAh - Nebula Purple","KSh 12,099",None
"XIAOMI Redmi A2+, 6.52"", 2GB+32GB, 8.0MP, 5000mAh, 4G , Dual SIM - Black","KSh 11,983",None
"Infinix Hot 30 Play, 6.82"", 8GB RAM, 128GB, 6000mAh, (DUAL SIM), 4G - Mirage Black","KSh 18,799",None
"Freeyond M5,8GB+128GB,6.52"", 50MP,4G Smartphone 5000mAh Dual SIM Android Phone,Black","KSh 16,013",None
"Samsung Galaxy A03 Core, 6.5"" 32GB + 2G, 5000mAh,Dual Sim- Onyx (Grey)","KSh 11,499",None
"Freeyond F9,4GB+64GB,6.52"" 4G Smartphone,13.0MP 5000mAh, Dual SIM Android Phones,Grey","KSh 12,119",None
"Samsung Galaxy A04, 6.5"", 64GB + 4GB RAM (Dual SIM), 50MP, 5000mAh,Black","KSh 16,799",None
"Tecno Spark 10C , 6.6"" FHD,128GB ROM+4GB RAM ,5000mAh,Meta Skin Blue","KSh 16,320",None
"XIAOMI Redmi A2+, 6.52"", 2GB+32GB, 8.0MP, 5000mAh, 4G , Dual SIM - Light Blue","KSh 11,599",None
Generic Stereo F9 Bluetooth Earphone  Power Headset,KSh 660,None
Qwen Wireless Earbuds Fingerprint Touch Headset Bluetooth Earphones With Charging Power Bank,KSh 560,None
Qwen Bluetooth Headset Wireless Earbuds With Power Bank & Digital Led Display,KSh 649,None
Generic Wireless Bluetooth In-Ear Earphone Stereo Headset,KSh 580,None
Generic Wireless Earphones Bluetooth 5.3 Finger Touch Headset HIFI Slide Cover.,KSh 749,None
Edifier X2 TWS Earbuds Wireless Earphones Bluetooth 5.1 Voice Assistant 13mm Driver Touch Control Up To 28hrs Playtime Game Mode,"KSh 1,838",None
Gionee DCQ D1 Power Banks 10000 MAh,KSh 750,None
"Oraimo Deeper Bass, HD Sound Earphone + Mic",KSh 348,None
General Electric DCQ D2 Power Banks 20000 MAh,"KSh 1,300",None
Oraimo Rock Stereo Bass Super Long Playtime IPX5 Waterproof True Wireless Earbuds,"KSh 2,199",None
Generic Bluetooth 5.0  Wireless Earphone Earbuds  Business,KSh 838,None
Generic Bluetooth Wireless Earphones Sound Headsets Noise Cancelling HD Binaural Call Earbuds MiNi,KSh 535,None
Qwen Wireless Earbuds Bluetooth 5.3 Earphones Bluetooth Headsets With Power Bank,KSh 650,None
Generic Macaroon Bluetooth Wireless EarphonesEarbuds-White,KSh 529,None
Freeyond Pods1 Earphones BT5.3  ENC Earbuds,"KSh 1,169",None
,"KSh 13,999",4 out of 5(23)
,"KSh 12,099",4.4 out of 5(60)
,"KSh 12,399",3.2 out of 5(9)
,"KSh 13,999",4.7 out of 5(20)
,"KSh 17,280",4.4 out of 5(53)
,"KSh 17,999",5 out of 5(4)
,"KSh 22,799",4.4 out of 5(5)
,"KSh 18,299",4 out of 5(9)
,"KSh 22,999",4.4 out of 5(29)
,"KSh 11,599",4.4 out of 5(157)
,"KSh 15,360",4.3 out of 5(47)
,"KSh 21,599",4.5 out of 5(44)
,"KSh 28,999",4.5 out of 5(30)
,"KSh 15,360",4.2 out of 5(21)
,KSh 660,4 out of 5(1001)
,KSh 560,4.4 out of 5(45)
,KSh 580,3.8 out of 5(96)
,KSh 769,4 out of 5(65)
,KSh 615,4 out of 5(317)
,KSh 589,4.5 out of 5(35)
,KSh 749,3.8 out of 5(89)
,"KSh 11,599",4.7 out of 5(30)
,"KSh 2,199",4.5 out of 5(127)
,KSh 750,4 out of 5(115)
,KSh 560,4.4 out of 5(11)
,KSh 649,4.2 out of 5(70)
,KSh 669,4 out of 5(123)
,KSh 600,4.3 out of 5(3)
,"KSh 16,320",4.3 out of 5(122)
,KSh 45,3.2 out of 5(27)
,"KSh 16,320",4.4 out of 5(131)
,"KSh 1,300",4.3 out of 5(44)
,"KSh 11,599",4.3 out of 5(115)
,KSh 646,3.1 out of 5(47)
,"KSh 1,169",4.5 out of 5(44)
,"KSh 16,013",4.1 out of 5(209)
,"KSh 11,520",4.5 out of 5(13)
,KSh 535,3.5 out of 5(184)
,KSh 838,4.3 out of 5(109)
,KSh 430,4 out of 5(1)
